genus,family
Gloydius,Viperidae
Goggia,Gekkonidae
Gomesophis,Colubridae
Gonatodes,Sphaerodactylidae
Gongylomorphus,Scincidae
Gongylosoma,Colubridae
Gonionotophis,Lamprophiidae
Goniurosaurus,Eublepharidae
Gonocephalus,Agamidae
Gonyosoma,Colubridae
Graciliscincus,Scincidae
Grayia,Colubridae
Grypotyphlops,Typhlopidae
Gyalopion,Colubridae
Gyiophis,Homalopsidae
Gymnodactylus,Phyllodactylidae
Gymnophthalmus,Gymnophthalmidae
Haackgreerius,Scincidae
Haemodracon,Phyllodactylidae
Haitiophis,Colubridae
Hakaria,Scincidae
Hapsidophrys,Colubridae
Harpesaurus,Agamidae
Harrisoniascincus,Scincidae
Hebius,Colubridae
Helicops,Colubridae
Heliobolus,Lacertidae
Hellenolacerta,Lacertidae
Helminthophis,Anomalepididae
Heloderma,Helodermatidae
Helophis,Colubridae
Hemachatus,Elapidae
Hemerophis,Colubridae
Hemiaspis,Elapidae
Hemibungarus,Elapidae
Hemicordylus,Cordylidae
Hemidactylus,Gekkonidae
Hemiergis,Scincidae
Hemiphyllodactylus,Gekkonidae
Hemirhagerrhis,Psammophiidae
Hemisphaeriodon,Scincidae
Hemitheconyx,Eublepharidae
Hemorrhois,Colubridae
Herpetoreas,Colubridae
Hesperoedura,Diplodactylidae
Heterodactylus,Gymnophthalmidae
Heterodon,Colubridae
Heteroliodon,Pseudoxyrhophiidae
Heteronotia,Gekkonidae
Heurnia,Homalopsidae
Hierophis,Colubridae
Holaspis,Lacertidae
Holbrookia,Phrynosomatidae
Holcosus,Teiidae
Holodactylus,Eublepharidae
Hologerrhum,Cyclocoridae
Homalophis,Homalopsidae
Homalopsis,Homalopsidae
Homonota,Phyllodactylidae
Homopholis,Gekkonidae
Homoroselaps,Atractaspididae
Hoplocephalus,Elapidae
Hoplocercus,Hoplocercidae
Hoplodactylus,Diplodactylidae
Hormonotus,Lamprophiidae
Hydrablabes,Colubridae
Hydraethiops,Colubridae
Hydrelaps,Elapidae
Hydrodynastes,Colubridae
Hydromorphus,Colubridae
Hydrophis,Elapidae
Hydrops,Colubridae
Hydrosaurus,Agamidae
Hypnale,Viperidae
Hypoptophis,Atractaspididae
Hypsicalotes,Agamidae
Hypsiglena,Colubridae
Hypsilurus,Agamidae
Hypsirhynchus,Colubridae
Hypsiscopus,Homalopsidae
Ialtris,Colubridae
Iberolacerta,Lacertidae
Ichnotropis,Lacertidae
Iguana,Iguanidae
Iguanognathus,Colubridae
Imantodes,Colubridae
Indotyphlops,Typhlopidae
Insulasaurus,Scincidae
Intellagama,Agamidae
Inyoka,Lamprophiidae
Iphisa,Gymnophthalmidae
Iranolacerta,Lacertidae
Isopachys,Scincidae
Ithycyphus,Pseudoxyrhophiidae
Janetaescincus,Scincidae
Japalura,Agamidae
Jarujinia,Scincidae
